City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Zyryanka,RU,65.75,150.85,-34.8,99,100,7.05,overcast clouds
80,Hobart,AU,-42.8794,147.3294,55.26,75,75,8.05,broken clouds
81,Lebu,CL,-37.6167,-73.65,62.49,68,0,18.21,clear sky
82,Homer,US,59.6425,-151.5483,31.89,73,0,17.27,clear sky
83,Saint-Pierre,RE,-21.3393,55.4781,76.68,69,0,4.61,clear sky
84,Katherine,AU,-14.4667,132.2667,75.52,83,97,4.61,overcast clouds
85,Bluff,NZ,-46.6,168.3333,63.81,85,83,5.61,broken clouds
86,Victoria,HK,22.2855,114.1577,60.94,72,85,4.0,overcast clouds
87,Aleksandrov Gay,RU,50.147,48.5704,23.41,62,0,14.5,clear sky
88,Severo-Kurilsk,RU,50.6789,156.125,26.96,64,99,17.96,overcast clouds
89,Georgetown,MY,5.4112,100.3354,78.73,91,20,3.44,few clouds
90,Hilo,US,19.7297,-155.09,76.24,90,75,4.61,moderate rain
91,Wasilla,US,61.5814,-149.4394,26.4,93,100,10.36,light snow
92,Saskylakh,RU,71.9167,114.0833,-25.85,100,78,4.85,broken clouds
93,Fortuna,US,40.5982,-124.1573,47.98,86,75,9.22,broken clouds
94,Axim,GH,4.8699,-2.2405,79.27,84,6,7.9,clear sky
95,Ostrovnoy,RU,68.0531,39.5131,10.06,92,91,9.62,overcast clouds
96,Avarua,CK,-21.2078,-159.775,77.05,69,20,11.5,few clouds
97,Ballina,AU,-28.8667,153.5667,73.02,87,6,10.0,clear sky
98,Yatou,CN,37.15,122.3833,31.64,56,11,11.03,few clouds
99,Fernandina Beach,US,30.6697,-81.4626,69.03,78,40,11.5,scattered clouds
100,Luba,GQ,3.4568,8.5547,80.46,78,19,7.27,few clouds
101,Geraldton,AU,-28.7667,114.6,72.01,30,1,11.5,clear sky
102,Pandan Niog,PH,6.2282,120.5631,81.84,77,100,13.82,overcast clouds
103,Husavik,IS,66.0449,-17.3389,22.21,85,82,6.08,broken clouds
104,Carutapera,BR,-1.195,-46.02,82.99,65,59,9.04,broken clouds
105,Tasiilaq,GL,65.6145,-37.6368,13.96,65,95,8.03,overcast clouds
106,Ust-Omchug,RU,61.15,149.6333,-45.0,100,93,2.15,overcast clouds
107,Mount Isa,AU,-20.7333,139.5,78.57,19,5,9.22,clear sky
108,Soc Trang,VN,9.6033,105.98,73.83,84,100,8.88,overcast clouds
109,Iqaluit,CA,63.7506,-68.5145,10.13,92,75,0.0,broken clouds
110,Naryan-Mar,RU,67.6713,53.087,-8.23,97,9,8.81,clear sky
111,Mercedes,AR,-34.6515,-59.4307,86.04,18,100,19.77,light rain
112,Alice Springs,AU,-23.7,133.8833,58.55,51,52,0.0,broken clouds
113,Koslan,RU,63.4564,48.8989,-7.33,98,92,6.38,overcast clouds
114,Kaitangata,NZ,-46.2817,169.8464,60.21,78,86,11.21,overcast clouds
115,Kissamos,GR,35.4939,23.6569,62.91,81,59,12.37,broken clouds
116,Santander,ES,43.4647,-3.8044,60.46,85,40,3.44,scattered clouds
117,Zhaoyuan,CN,37.3592,120.3964,30.65,46,0,9.44,clear sky
118,Innisfail,AU,-17.5333,146.0333,74.71,89,99,3.29,overcast clouds
119,Lockhart,US,28.6194,-81.4426,74.14,68,0,5.75,clear sky
120,Tocopilla,CL,-22.092,-70.1979,72.34,62,67,2.89,broken clouds
121,Yar-Sale,RU,66.8333,70.8333,-19.93,100,81,5.53,broken clouds
122,Divnomorskoye,RU,44.5011,38.1353,52.02,91,100,16.84,moderate rain
123,Takoradi,GH,4.8845,-1.7554,79.84,83,8,8.3,clear sky
124,Ponta Do Sol,PT,32.6667,-17.1,76.01,95,100,6.06,light rain
125,Constantine,DZ,36.365,6.6147,60.21,67,40,13.8,scattered clouds
126,Kalianget,ID,-7.05,113.9333,80.87,78,88,1.7,overcast clouds
127,Lazaro Cardenas,MX,17.9583,-102.2,81.81,65,6,8.21,clear sky
128,Chimbarongo,CL,-34.7,-71.05,83.28,7,0,13.35,clear sky
129,Carnarvon,AU,-24.8667,113.6333,69.96,80,0,14.12,clear sky
130,Rafai,CF,4.95,23.9167,80.6,33,88,1.39,overcast clouds
131,Port Hardy,CA,50.6996,-127.4199,37.58,87,75,5.75,broken clouds
132,Port Lincoln,AU,-34.7333,135.8667,56.41,66,100,11.34,overcast clouds
133,Dudinka,RU,69.4058,86.1778,-7.38,95,100,16.24,overcast clouds
134,Hithadhoo,MV,-0.6,73.0833,81.12,78,100,12.03,overcast clouds
135,Qui Nhon,VN,13.7667,109.2333,70.92,78,100,16.6,overcast clouds
136,Vladimirskaya,RU,44.5455,40.7933,47.5,60,100,4.03,overcast clouds
137,Bakel,SN,14.905,-12.4568,81.77,10,0,9.98,clear sky
138,Fallon,US,39.4735,-118.7774,35.47,61,75,14.97,broken clouds
139,Muros,ES,42.7762,-9.0603,61.68,96,98,13.96,overcast clouds
140,Vostok,RU,46.4856,135.8833,14.4,96,100,1.19,snow
141,Bocas Del Toro,PA,9.3333,-82.25,79.29,77,33,9.04,light rain
142,Airai,TL,-8.9266,125.4092,60.85,92,100,1.81,overcast clouds
143,Zapolyarnyy,RU,69.4154,30.8136,-4.72,84,6,6.24,clear sky
144,Haines Junction,CA,60.7522,-137.5108,23.49,94,100,6.44,light snow
145,Ayorou,NE,14.7308,0.9174,76.75,11,95,9.15,overcast clouds
146,Vershino-Darasunskiy,RU,52.35,115.5167,-10.88,65,99,11.36,overcast clouds
147,San Juan,AR,-31.5375,-68.5364,91.47,10,0,21.03,clear sky
148,Provideniya,RU,64.3833,-173.3,14.36,73,75,18.01,light snow
149,Lusambo,CD,-4.9667,23.45,69.22,99,100,2.35,overcast clouds
150,Mahebourg,MU,-20.4081,57.7,77.25,81,26,14.63,light rain
151,Oranjestad,AW,12.524,-70.027,83.91,68,16,5.99,few clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,66.83,67,40,14.0,scattered clouds
153,Luderitz,NA,-26.6481,15.1594,65.66,87,11,1.23,few clouds
154,Great Falls,US,47.5002,-111.3008,12.67,84,100,9.22,overcast clouds
155,Lugovoy,KZ,42.9472,72.7644,13.86,80,10,2.91,clear sky
156,Healesville,AU,-37.65,145.5167,54.23,83,96,1.01,overcast clouds
157,Madang,PG,-5.2246,145.7966,75.33,94,100,6.89,overcast clouds
158,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,89,100,11.56,overcast clouds
159,Pisco,PE,-13.7,-76.2167,75.25,69,0,13.8,clear sky
160,Liverpool,GB,53.4106,-2.9779,32.54,97,100,4.61,overcast clouds
161,Pangkalanbuun,ID,-2.6833,111.6167,74.25,94,100,2.19,overcast clouds
162,Viedma,AR,-40.8135,-62.9967,72.73,19,42,15.64,scattered clouds
163,Yulara,AU,-25.2406,130.9889,68.56,25,100,12.84,overcast clouds
164,Ulladulla,AU,-35.35,150.4667,57.83,53,0,8.34,clear sky
165,Yellowknife,CA,62.456,-114.3525,-8.81,100,99,9.4,overcast clouds
166,Sinnamary,GF,5.3833,-52.95,79.25,84,96,8.5,overcast clouds
167,Kruisfontein,ZA,-34.0033,24.7314,72.48,78,100,7.92,overcast clouds
168,Abalak,RU,58.1286,68.5944,-6.3,95,100,6.17,overcast clouds
169,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,48,12.1,scattered clouds
170,Kahului,US,20.8947,-156.47,75.85,84,40,13.0,light rain
171,Khatanga,RU,71.9667,102.5,5.4,95,100,17.54,light snow
172,Chingirlau,KZ,51.095,54.0814,13.95,81,13,7.96,few clouds
173,Brumunddal,NO,60.881,10.9395,9.01,95,91,3.02,overcast clouds
174,Isla Mujeres,MX,21.2311,-86.731,80.65,62,0,7.72,clear sky
175,Nome,US,64.5011,-165.4064,23.07,93,100,6.91,mist
176,Sisimiut,GL,66.9395,-53.6735,10.69,78,58,6.8,broken clouds
177,Ostersund,SE,63.1792,14.6357,9.61,92,100,4.61,overcast clouds
178,Laguna,US,38.421,-121.4238,54.01,66,0,10.36,clear sky
179,Margate,GB,51.3813,1.3862,35.91,81,4,5.01,clear sky
180,Saint-Augustin,CA,51.226,-58.6502,15.19,84,95,8.99,overcast clouds
181,Nyurba,RU,63.2842,118.3319,-16.65,96,100,8.25,overcast clouds
182,Karasjok,NO,69.4719,25.5112,-13.54,100,48,3.4,scattered clouds
183,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-18.0,87,3,4.92,clear sky
184,Fairbanks,US,64.8378,-147.7164,12.6,85,100,10.36,light snow
185,Cherskiy,RU,68.75,161.3,-29.49,96,100,12.03,overcast clouds
186,Coolum Beach,AU,-26.5333,153.1,76.33,93,50,4.29,scattered clouds
187,Gulu,UG,2.7746,32.299,68.97,75,90,2.53,overcast clouds
188,Derzhavinsk,KZ,51.1,66.3167,11.68,76,100,10.58,overcast clouds
189,Vardo,NO,70.3705,31.1107,13.98,73,0,23.02,clear sky
190,Atikokan,CA,48.7555,-91.6216,29.21,88,100,7.78,overcast clouds
191,Labytnangi,RU,66.6572,66.4183,-18.96,94,67,3.67,broken clouds
192,Tacuarembo,UY,-31.7333,-55.9833,87.75,17,0,19.1,clear sky
193,Nalut,LY,30.3333,10.85,64.81,42,72,9.26,broken clouds
194,Katobu,ID,-4.9408,122.5276,75.31,92,97,2.26,overcast clouds
195,Medea,DZ,36.2642,2.7539,54.21,87,96,4.54,overcast clouds
196,Ahipara,NZ,-35.1667,173.1667,67.44,74,0,2.53,clear sky
197,Rio Gallegos,AR,-51.6226,-69.2181,62.65,36,75,5.75,broken clouds
198,Parana,AR,-31.732,-60.5238,88.57,33,0,14.61,clear sky
199,Belmonte,BR,-15.8631,-38.8828,79.39,80,14,14.12,few clouds
200,Goure,NE,13.9835,10.2704,68.92,15,6,8.88,clear sky
201,Udachnyy,RU,66.4167,112.4,-8.55,76,100,13.2,overcast clouds
202,Krasnyy Kholm,RU,58.0607,37.1203,34.29,100,100,14.07,light snow
203,Rock Sound,BS,24.9,-76.2,75.94,73,2,9.69,clear sky
204,Mongomo,GQ,1.6274,11.3135,68.94,96,100,2.93,overcast clouds
205,Natitingou,BJ,10.3042,1.3796,77.52,19,41,5.17,scattered clouds
206,Banda Aceh,ID,5.5577,95.3222,76.12,89,100,10.33,light rain
207,Beringovskiy,RU,63.05,179.3167,-7.98,93,11,6.29,few clouds
208,Rolla,US,37.9514,-91.7713,39.85,87,100,12.66,overcast clouds
209,Bambous Virieux,MU,-20.3428,57.7575,77.22,81,28,14.36,light rain
210,Svetlogorsk,BY,52.6333,29.7333,26.62,90,99,9.86,overcast clouds
211,Kalakamati,BW,-20.5929,27.3121,70.56,69,84,11.74,broken clouds
212,Verkh-Usugli,RU,52.7,115.1667,-10.71,61,100,7.49,overcast clouds
213,Hofn,IS,64.2539,-15.2082,31.93,66,4,17.98,clear sky
214,Ati,TD,13.2154,18.3353,75.18,13,84,8.19,broken clouds
215,Okhotsk,RU,59.3833,143.3,-25.49,80,4,13.73,clear sky
216,Marsh Harbour,BS,26.5412,-77.0636,75.49,71,83,16.17,broken clouds
217,Nikolskoye,RU,59.7035,30.7861,17.49,95,100,7.07,light snow
218,Walvis Bay,NA,-22.9575,14.5053,61.09,86,36,6.96,scattered clouds
219,Lagoa,PT,39.05,-27.9833,60.96,82,0,30.04,clear sky
220,Sasolburg,ZA,-26.8136,27.817,63.79,82,100,9.98,overcast clouds
221,Acandi,CO,8.5063,-77.2778,82.27,73,27,8.08,light rain
222,Greencastle,US,39.6445,-86.8647,45.66,64,0,8.05,clear sky
223,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,2.3,overcast clouds
224,Faya,SA,18.3851,42.4509,53.71,76,0,2.44,clear sky
225,Qaqortoq,GL,60.7167,-46.0333,13.8,66,3,7.52,clear sky
226,Baykit,RU,61.67,96.37,-21.78,99,100,1.7,overcast clouds
227,Coquimbo,CL,-29.9533,-71.3436,71.33,60,0,14.97,clear sky
228,Caucaia,BR,-3.7361,-38.6531,82.35,72,20,11.5,few clouds
229,Sioux Lookout,CA,50.1001,-91.917,24.87,86,100,10.36,overcast clouds
230,Tuktoyaktuk,CA,69.4541,-133.0374,-1.19,86,100,20.47,overcast clouds
231,College,US,64.8569,-147.8028,11.21,84,100,10.36,light snow
232,Rio Grande,BR,-32.035,-52.0986,80.71,60,24,26.42,few clouds
233,Kieta,PG,-6.2167,155.6333,79.41,83,100,1.43,overcast clouds
234,Plouzane,FR,48.3833,-4.6167,35.65,83,0,12.66,clear sky
235,San Quintin,MX,30.4833,-115.95,58.48,63,90,18.45,overcast clouds
236,Valparaiso,CL,-33.0393,-71.6273,80.83,44,0,17.27,clear sky
237,Half Moon Bay,US,37.4636,-122.4286,54.14,75,0,9.22,clear sky
238,Deputatskiy,RU,69.3,139.9,-23.66,95,100,5.93,overcast clouds
239,Moissala,TD,8.3404,17.7663,76.98,19,10,4.76,clear sky
240,Katsuura,JP,35.1333,140.3,53.33,69,100,3.33,overcast clouds
241,Coahuayana,MX,18.7333,-103.6833,85.57,51,7,6.44,clear sky
242,Cervo,ES,43.6702,-7.4101,61.97,79,40,22.57,scattered clouds
243,Haicheng,CN,40.8516,122.7475,24.64,39,100,5.5,overcast clouds
244,Itoman,JP,26.1247,127.6694,66.22,88,75,23.02,broken clouds
245,Berlevag,NO,70.8578,29.0864,26.6,58,75,20.71,broken clouds
246,Benghazi,LY,32.1167,20.0667,68.29,69,100,12.86,overcast clouds
247,Bunia,CD,1.5667,30.25,63.16,85,92,1.36,overcast clouds
248,Tchibanga,GA,-2.85,11.0333,71.76,98,100,2.51,moderate rain
249,Lingdong,CN,46.5669,131.1453,12.94,80,100,15.26,overcast clouds
250,Latung,PH,5.5,120.8833,81.05,80,24,12.8,few clouds
251,Touros,BR,-5.1989,-35.4608,80.56,72,31,11.95,scattered clouds
252,Kavieng,PG,-2.5744,150.7967,80.62,80,92,4.99,moderate rain
253,Leshukonskoye,RU,64.8989,45.7622,-21.71,100,100,3.18,overcast clouds
254,Raudeberg,NO,61.9875,5.1352,27.27,61,100,6.38,overcast clouds
255,Gorodishche,RU,48.8045,44.4744,22.08,73,40,20.13,scattered clouds
256,Karratha,AU,-20.7377,116.8463,85.8,29,42,12.55,scattered clouds
257,Kavaratti,IN,10.5669,72.642,81.07,77,99,19.98,overcast clouds
258,Aklavik,CA,68.2191,-135.0107,-7.6,71,100,13.8,overcast clouds
259,Yumen,CN,40.2833,97.2,12.69,51,0,10.78,clear sky
260,Teya,RU,60.3778,92.6267,-28.79,100,100,2.42,overcast clouds
261,Upernavik,GL,72.7868,-56.1549,10.99,71,100,6.06,overcast clouds
262,Saldanha,ZA,-33.0117,17.9442,66.6,90,19,7.78,few clouds
263,Sitka,US,57.0531,-135.33,42.69,75,100,17.27,light rain
264,Pangnirtung,CA,66.1451,-65.7125,17.6,93,100,0.0,light snow
265,Broken Hill,AU,-31.95,141.4333,52.93,57,0,7.02,clear sky
266,Coihaique,CL,-45.5752,-72.0662,57.81,67,75,5.75,broken clouds
267,Colinas,BR,-6.0258,-44.2492,83.68,62,100,4.12,overcast clouds
268,Eyl,SO,7.9803,49.8164,75.33,70,6,15.99,clear sky
269,Caravelas,BR,-17.7125,-39.2481,79.52,79,20,13.67,moderate rain
270,Chimbote,PE,-9.0853,-78.5783,72.36,72,100,7.87,overcast clouds
271,Tucuman,AR,-26.8241,-65.2226,98.6,28,20,9.22,few clouds
272,Gat,IL,31.61,34.7642,65.39,39,25,3.62,scattered clouds
273,San Patricio,US,28.017,-97.5169,81.18,65,100,17.0,overcast clouds
274,Butaritari,KI,3.0707,172.7902,80.42,79,56,11.45,light rain
275,Grants Pass,US,42.439,-123.3284,46.17,89,100,3.44,fog
276,Skjervoy,NO,70.0311,20.9714,12.2,55,93,8.9,overcast clouds
277,Vangaindrano,MG,-23.35,47.6,72.45,91,70,4.68,moderate rain
278,Port Blair,IN,11.6667,92.75,79.11,78,100,7.31,overcast clouds
279,Klaksvik,FO,62.2266,-6.589,34.72,57,100,25.79,light snow
280,Aripuana,BR,-9.1667,-60.6333,81.82,67,100,1.61,overcast clouds
281,Smithers,CA,54.7804,-127.1743,14.32,85,75,3.44,broken clouds
282,Lodja,CD,-3.4833,23.4333,69.08,99,100,1.68,light rain
283,Eyrarbakki,IS,63.863,-21.1481,21.25,53,4,8.21,clear sky
284,Lahaina,US,20.8783,-156.6825,78.04,89,100,19.69,overcast clouds
285,Lorengau,PG,-2.0226,147.2712,79.97,80,100,2.13,overcast clouds
286,Pastos Bons,BR,-6.6017,-44.0767,85.46,56,83,3.69,broken clouds
287,Wau,SS,7.7029,27.9953,79.72,31,34,4.27,scattered clouds
288,Lavrentiya,RU,65.5833,-171.0,6.4,83,10,14.52,clear sky
289,Manokwari,ID,-0.8667,134.0833,79.12,81,100,2.57,overcast clouds
290,Omboue,GA,-1.5746,9.2618,77.65,85,100,4.76,light rain
291,Ulaangom,MN,49.9811,92.0667,-14.04,95,94,2.91,overcast clouds
292,Shitanjing,CN,39.2342,106.3439,13.96,44,15,19.55,few clouds
293,Nautla,MX,20.2167,-96.7833,79.07,69,4,10.83,clear sky
294,Rodrigues Alves,BR,-7.738,-72.6509,73.6,46,100,1.95,heavy intensity rain
295,Mandalgovi,MN,45.7625,106.2708,-4.56,51,2,18.34,clear sky
296,Flin Flon,CA,54.7682,-101.865,25.65,95,100,3.15,snow
297,Redmond,US,47.674,-122.1215,45.19,87,100,1.01,overcast clouds
298,Pirgos,GR,35.1167,25.7178,62.62,71,17,9.71,few clouds
299,Pangai,TO,-19.8,-174.35,82.51,74,75,17.27,light rain
300,Lompoc,US,34.6391,-120.4579,57.02,73,75,12.66,broken clouds
301,Brigantine,US,39.4101,-74.3646,43.02,68,75,9.22,broken clouds
302,Mao,ES,39.8885,4.2658,63.16,94,75,18.41,broken clouds
303,Bengkulu,ID,-3.8004,102.2655,73.99,90,100,4.12,overcast clouds
304,Ko Samui,TH,9.5357,99.9357,81.05,75,85,14.76,overcast clouds
305,Kholodnyy,RU,62.7167,147.95,-52.76,96,64,1.14,broken clouds
306,Skibbereen,IE,51.55,-9.2667,42.12,75,100,11.7,overcast clouds
307,Mokhsogollokh,RU,61.4681,128.9203,-32.1,94,100,5.37,overcast clouds
308,Pecos,US,31.4229,-103.4932,73.31,40,0,4.61,clear sky
309,Juegang,CN,32.3174,121.1855,42.98,62,0,7.85,clear sky
310,Kozelsk,RU,54.0375,35.7716,33.37,97,100,5.86,overcast clouds
311,Temple,US,31.0982,-97.3428,65.01,97,100,14.97,overcast clouds
312,Batemans Bay,AU,-35.7167,150.1833,57.09,56,0,5.14,clear sky
313,Ayan,RU,56.45,138.1667,-6.83,67,100,9.15,overcast clouds
314,Makarska,HR,43.2969,17.0178,38.39,61,35,4.63,scattered clouds
315,Esperance,AU,-33.8667,121.9,56.07,78,18,9.8,few clouds
316,Necochea,AR,-38.5473,-58.7368,64.22,53,100,13.73,overcast clouds
317,Zlobin,HR,45.2924,14.6541,27.7,60,0,9.22,clear sky
318,Leningradskiy,RU,69.3833,178.4167,-6.21,70,100,22.53,overcast clouds
319,Taoudenni,ML,22.6783,-3.9836,81.0,21,9,1.66,clear sky
320,Killybegs,IE,54.6333,-8.45,35.31,89,74,6.93,broken clouds
321,Shirokiy,RU,49.758,129.523,11.3,96,100,5.37,light snow
322,Ozernovskiy,RU,51.5,156.5167,26.35,66,100,19.24,overcast clouds
323,Vestmanna,FO,62.1564,-7.1664,32.92,69,100,14.97,overcast clouds
324,Shingu,JP,33.7333,135.9833,50.58,89,92,4.03,overcast clouds
325,Saint George,US,37.1041,-113.5841,46.44,60,0,6.91,clear sky
326,Hazorasp,UZ,41.3194,61.0742,13.84,38,0,7.38,clear sky
327,Qasigiannguit,GL,68.8193,-51.1922,-3.87,68,56,6.38,broken clouds
328,Calella,ES,41.618,2.6678,53.64,94,100,12.06,overcast clouds
329,Sorland,NO,67.667,12.6934,26.46,54,7,4.16,clear sky
330,Nouakchott,MR,18.0858,-15.9785,80.53,24,0,11.48,clear sky
331,Mahina,PF,-17.5065,-149.489,74.97,83,75,11.5,light rain
332,Corner Brook,CA,48.9667,-57.9484,19.33,88,100,3.71,overcast clouds
333,Jining,CN,35.405,116.5814,31.21,27,74,5.32,broken clouds
334,Maltahohe,NA,-24.8333,16.9833,68.5,31,0,16.8,clear sky
335,Saint-Joseph,RE,-21.3667,55.6167,75.58,78,28,12.5,scattered clouds
336,Chicama,PE,-7.8447,-79.1469,72.14,60,100,9.26,overcast clouds
337,General Luna,PH,13.6881,122.1708,75.38,91,100,4.56,overcast clouds
338,Peterhead,GB,57.5058,-1.7981,19.8,80,35,10.69,scattered clouds
339,Fort Morgan,US,40.2503,-103.8,38.62,44,0,13.8,clear sky
340,Morogoro,TZ,-6.8167,37.6667,70.79,88,28,4.85,scattered clouds
341,Avera,US,33.194,-82.5271,54.55,75,100,4.41,overcast clouds
342,Mogadishu,SO,2.0371,45.3438,79.59,75,0,18.5,clear sky
343,Tessalit,ML,20.1986,1.0114,74.77,14,0,9.01,clear sky
344,Yashkul,RU,46.1711,45.3435,32.5,74,6,18.12,clear sky
345,Bonavista,CA,48.6499,-53.1147,30.74,79,100,11.81,overcast clouds
